label,DependenceEntropy,DependenceNonUniformity,DependenceNonUniformityNormalized,DependenceVariance,GrayLevelNonUniformity,GrayLevelVariance,HighGrayLevelEmphasis,LargeDependenceEmphasis,LargeDependenceHighGrayLevelEmphasis,LargeDependenceLowGrayLevelEmphasis,LowGrayLevelEmphasis,SmallDependenceEmphasis,SmallDependenceHighGrayLevelEmphasis,SmallDependenceLowGrayLevelEmphasis
0,7.126108,296.74756,0.22295083,4.18249,48.923367,165.06812,1861.5673,11.518407,15683.066,3.983702,0.036807552,0.3766894,657.5093,0.0012106657
0,7.192602,236.23967,0.17749035,3.1997476,54.42299,51.288044,889.719,13.661157,10119.061,0.022686176,0.0014432336,0.2575555,268.96313,0.00032979748
0,7.207429,161.02554,0.12098087,12.775218,74.75958,143.34909,1363.148,32.60481,31967.12,13.707693,0.06720746,0.24319692,276.91534,0.0011738836
0,6.9563236,260.4846,0.19570594,2.6208017,60.693462,39.67423,2547.7197,10.870774,27891.14,0.0045432383,0.00042016554,0.32190162,800.70685,0.0001387963
0,7.0589395,345.24643,0.25938874,1.8669467,48.77761,176.20433,4238.6147,7.039068,28950.994,0.27987224,0.009362712,0.45913476,1903.0719,0.0013870351
0,6.692593,71.6882,0.053860407,27.726912,265.7513,2.7600574,1267.4147,137.11871,169772.11,0.1112475,0.0007956699,0.03541398,46.459137,2.7503791e-05
0,6.432268,70.51615,0.05297983,36.928715,247.6236,5.231988,23.694216,201.92862,4246.71,91.61003,0.29175213,0.020774737,0.46943662,0.002697604
0,7.213997,356.98047,0.26820472,1.4978778,37.75432,119.50065,2311.5132,6.386927,15212.033,0.0037024145,0.00082735956,0.45051587,1019.7997,0.00049120054
0,7.2592864,283.31406,0.21285804,2.403565,48.51615,76.53707,1707.9445,9.8129225,17748.05,0.0066206404,0.0007725066,0.3385093,542.2575,0.00028890412
0,6.3439384,64.32081,0.048325177,34.622524,370.16153,1.3487089,26.093914,189.47633,5485.9014,7.625276,0.059726853,0.021463234,0.424213,0.0025162417
0,7.156908,334.85275,0.25157982,1.9721116,43.57701,139.96364,1447.5658,7.4282494,11755.601,0.013653659,0.0025662382,0.43978095,582.2845,0.0011832363
0,7.313971,268.39294,0.20164758,3.8922205,48.044327,158.77708,1745.3418,12.021789,22148.998,1.2525082,0.014663352,0.37672257,574.0063,0.0010848439
0,6.585722,95.96018,0.0720963,15.045757,219.2314,3.6616893,251.12697,82.024796,21421.014,0.32610682,0.004308576,0.048325103,10.5160675,0.00027549182
0,6.0238247,148.27122,0.11139837,99.80897,359.24945,392.1084,693.6304,235.47633,6573.9624,231.92215,0.51409984,0.2255726,263.14554,0.0021078717
0,7.0487485,278.69345,0.20938653,2.3900888,56.221638,62.963287,2331.6138,9.483847,22529.24,0.0043334197,0.0005178057,0.374537,866.7601,0.00021724522
0,7.3408923,194.07588,0.14581208,5.0215826,63.124718,108.47027,2038.0624,18.250187,41968.65,0.011642758,0.0010326592,0.2603934,429.60956,0.00040082412
0,6.7711034,199.0,0.14951165,4.232203,95.96018,28.861166,2963.7979,17.253944,48807.82,0.0061862413,0.0003495306,0.24285467,765.97156,8.2186416e-05
