label,10Percentile,90Percentile,Energy,Entropy,InterquartileRange,Kurtosis,Maximum,Mean,MeanAbsoluteDeviation,Median,Minimum,Range,RobustMeanAbsoluteDeviation,RootMeanSquared,Skewness,TotalEnergy,Uniformity,Variance
0,116.0,903.0,460652260.0,5.2905307,509.5,1.8903524,1262.0,509.78513,255.06535,540.0,51.0,1211.0,205.88521,588.2983,0.10310484,460652260.0,0.028253613,86213.98
0,259.0,317.0,112396740.0,1.9584523,32.0,31.803343,341.0,288.8708,20.30764,294.0,0.0,341.0,13.108745,290.5948,-3.9511044,112396740.0,0.31368777,999.0096
0,506.0,1429.0,1896417500.0,5.0901346,221.0,5.5125403,1971.0,1139.4396,245.59727,1246.0,0.0,1971.0,118.390236,1193.6526,-1.7922894,1896417500.0,0.040882025,126484.13
0,0.0,1454.0,1254781400.0,4.7394495,1334.0,1.2949903,1840.0,756.18256,571.2412,836.0,0.0,1840.0,546.8284,970.94586,-0.12888828,1254781400.0,0.10214551,370923.8
0,282.0,399.0,160401740.0,2.9134147,57.5,15.548258,446.0,341.12997,41.40354,352.0,0.0,446.0,24.76916,347.14868,-2.8672054,160401740.0,0.15967782,4142.543
0,0.0,109.0,5392407.0,2.139029,85.0,1.680519,158.0,43.98272,42.08885,38.0,0.0,158.0,37.019226,63.65057,0.40843955,5392407.0,0.29165182,2116.9155
0,220.0,276.0,78770190.0,1.8082694,30.0,2.5811403,303.0,242.3719,17.204773,237.0,191.0,112.0,12.827838,243.2719,0.66603863,78770190.0,0.33254457,437.07355
0,0.0,1258.0,756714050.0,3.7743864,1108.0,1.3055686,1515.0,511.43124,530.76263,123.0,0.0,1515.0,478.14484,754.0096,0.3256241,756714050.0,0.23874143,306968.56
0,0.0,1455.0,980568960.0,4.6634107,1256.5,1.4521027,1800.0,608.24866,560.76825,381.0,0.0,1800.0,493.57272,858.3216,0.36205396,980568960.0,0.13553753,366749.5
0,941.0,1423.0,1888830300.0,5.0189366,255.0,6.2819276,1713.0,1166.1007,173.1163,1196.0,153.0,1560.0,104.75795,1191.2625,-1.4976692,1888830300.0,0.038615096,59315.395
0,0.0,1221.0,953789300.0,5.265056,885.5,1.5258527,1404.0,714.4831,415.79843,863.0,0.0,1404.0,402.29257,846.51996,-0.3171875,953789300.0,0.03663831,206109.92
0,250.0,349.0,133129220.0,2.2791252,25.0,9.8851185,394.0,310.2885,36.403072,328.0,49.0,345.0,11.932558,316.26248,-2.7026944,133129220.0,0.31270558,3742.9941
0,261.0,320.0,115718990.0,2.0074773,29.0,5.398359,354.0,293.78738,18.877398,298.0,165.0,189.0,12.251689,294.85825,-1.1210039,115718990.0,0.3047036,630.3688
0,698.0,931.0,885949300.0,3.9122634,143.0,3.4310653,1019.0,809.9008,79.92971,821.0,422.0,597.0,57.955666,815.85956,-0.6094682,885949300.0,0.07649017,9687.482
0,239.0,275.0,89129950.0,1.3398218,19.0,2.9643419,296.0,258.39444,11.163992,260.0,211.0,85.0,7.9836426,258.7753,-0.33971784,89129950.0,0.47502345,196.96613
0,978.0,1486.0,2094399700.0,4.810716,323.0,1.9957292,1654.0,1240.0353,161.81711,1255.0,626.0,1028.0,127.49018,1254.4136,-0.13497274,2094399700.0,0.038542844,35865.91
0,226.0,290.0,90101310.0,2.1740205,31.0,6.1436973,340.0,258.62283,20.91931,261.0,90.0,250.0,13.518005,260.18158,-1.0632464,90101310.0,0.27492985,808.6752
0,0.0,935.0,239783630.0,3.5023768,316.0,3.4644253,1189.0,246.21939,269.21414,71.0,0.0,1189.0,180.88023,424.44434,1.3571129,239783630.0,0.25824288,119529.0
0,0.0,1408.0,1111143000.0,4.587778,1235.0,1.6171,2717.0,668.4658,585.00446,750.0,0.0,2717.0,538.8971,913.6839,0.18345419,1111143000.0,0.14375176,387971.7
0,0.0,1916.0,2533733000.0,5.624925,853.0,2.5502973,2400.0,1230.411,515.9102,1322.0,0.0,2400.0,481.75287,1379.7214,-0.6482959,2533733000.0,0.032501843,389720.06
0,268.0,387.0,132778090.0,2.6692336,41.0,5.3696537,537.0,311.7821,36.895294,296.0,163.0,374.0,21.318207,315.84512,1.5000538,132778090.0,0.22727132,2550.0547
0,643.0,969.0,939355300.0,4.3244295,135.5,7.910781,1141.0,824.45,109.281624,856.0,0.0,1141.0,58.687817,840.0902,-1.8922584,939355300.0,0.06663671,26033.686
0,40.0,144.0,17831016.0,2.151315,52.0,2.694166,164.0,109.397446,31.707918,127.0,12.0,152.0,23.333113,115.74414,-1.0143249,17831016.0,0.30789286,1428.9052
0,142.0,505.0,218461920.0,3.89924,107.0,3.7416503,608.0,384.8287,94.48676,419.0,19.0,589.0,57.53289,405.13416,-1.2728412,218461920.0,0.08537047,16040.543
0,0.0,1554.0,740711400.0,3.5945072,822.0,2.8124266,2076.0,453.31256,504.02682,0.0,0.0,2076.0,380.31464,745.99426,1.0352548,740711400.0,0.30748984,351015.22
0,29.0,318.0,40517750.0,3.554394,188.0,2.1850536,412.0,134.4245,96.91796,81.0,12.0,400.0,76.75594,174.47517,0.8037709,40517750.0,0.11664458,12371.642
0,906.0,1364.0,1845575800.0,4.796069,224.0,4.348404,1542.0,1162.453,143.7064,1196.0,401.0,1141.0,94.48605,1177.5433,-1.0664756,1845575800.0,0.044090495,35311.363
0,895.0,1381.0,1616008600.0,4.6129646,223.0,2.6374254,1586.0,1087.4635,141.96405,1043.0,695.0,891.0,99.36808,1101.8762,0.6800125,1616008600.0,0.050920628,31554.182
0,1068.0,1789.0,2804135400.0,5.578624,435.5,3.8784215,2120.0,1416.1119,250.37445,1440.0,137.0,1983.0,172.66109,1451.478,-0.72332865,2804135400.0,0.02486564,101415.31
0,0.0,1391.0,1026830460.0,4.449956,1270.5,1.2723234,1789.0,646.82196,563.688,482.0,0.0,1789.0,521.15674,878.3353,0.12835154,1026830460.0,0.13755158,353094.28
0,307.0,369.0,158890260.0,1.8900362,28.0,4.2258267,389.0,344.64764,18.900587,352.0,225.0,164.0,12.453661,345.5092,-1.1692346,158890260.0,0.3397721,594.6084
0,0.0,134.0,15980228.0,1.8973284,25.0,3.6434553,154.0,99.5387,34.969654,118.0,0.0,154.0,36.26847,109.57272,-1.4842052,15980228.0,0.3266368,2098.2305
0,94.0,121.0,15299378.0,1.1964887,15.0,5.193293,143.0,106.5725,8.953969,106.0,35.0,108.0,6.04367,107.213104,-0.42833954,15299378.0,0.5321143,136.95097
0,0.0,238.0,25880924.0,2.3494322,213.0,1.3543493,274.0,91.79264,99.84978,0.0,0.0,274.0,89.18272,139.44434,0.41755557,25880924.0,0.3179518,11018.833
0,19.0,358.0,88702380.0,3.949942,219.0,2.0374281,563.0,222.78362,113.03745,272.0,0.0,563.0,90.97624,258.15387,-0.27645263,88702380.0,0.08177251,17010.873
0,864.0,1265.0,1524582400.0,4.6869097,256.5,4.2714543,1456.0,1056.6063,137.34348,1050.0,199.0,1257.0,101.66796,1070.2529,-0.52910894,1524582400.0,0.04422597,29024.383
0,634.0,998.0,898579500.0,4.5370207,188.0,3.6512966,1329.0,808.1683,115.24621,794.0,295.0,1034.0,77.92136,821.6545,0.5923359,898579500.0,0.051271733,21980.107
0,919.0,1282.0,1639888300.0,4.4704123,221.0,3.107126,1393.0,1100.6619,118.714195,1110.0,460.0,933.0,90.171745,1109.9875,-0.3988482,1639888300.0,0.050002795,20615.709
0,0.0,1037.0,936738400.0,4.3420005,189.0,3.7203732,1267.0,765.56573,257.1233,890.0,0.0,1267.0,267.96088,838.9192,-1.4629459,936738400.0,0.06644366,117694.52
0,0.0,368.0,60015416.0,3.8442235,255.5,1.7479873,470.0,160.95868,124.45243,111.0,0.0,470.0,106.598854,212.34517,0.46602345,60015416.0,0.09128842,19182.773
