label,Busyness,Coarseness,Complexity,Contrast,Strength
0,0.25461945,0.0052753515,1055.2936,0.36400428,4.5311913
0,0.5911081,0.009089418,35.95693,0.030333517,0.63372684
0,0.13776475,0.0022644466,9511.1875,1.2699991,22.424469
0,0.050786886,0.0060820784,4431.1826,0.16747953,6.321646
0,0.04702657,0.008929513,2245.6865,0.12279774,7.2449207
0,0.039251704,0.010257844,2683.24,0.12344685,15.024008
1,0.74590296,0.006938549,13.0830555,0.02478637,0.23657271
0,1.4362015,0.010255292,18.98196,0.028273813,0.39863235
0,4.309948,0.008268727,9.044235,0.038059924,0.118237734
0,0.046385985,0.0075652944,8975.647,0.4451113,11.752459
0,2.787824,0.007540961,5.5229454,0.011035084,0.19725534
0,3.1875424,0.0060562026,5.970189,0.0133203175,0.10026503
0,1.5405554,0.006694153,6.7044387,0.010046138,0.16749418
0,2.1279716,0.008252563,8.414589,0.017892154,0.2417678
0,3.3101578,0.0059928405,15.114001,0.10413629,0.18711102
0,0.3483735,0.008519708,212.46,0.108094364,1.2880224
0,4.203472,0.006999801,2.9145362,0.011087629,0.066464216
0,0.091130726,0.0063642715,1213.9382,0.1085057,2.8890061
1,0.33478114,0.011387213,45.03142,0.014102888,1.5315876
0,0.099546134,0.0062881694,5076.592,0.67256236,6.4066033
0,0.12571776,0.008603442,528.09174,0.095538184,2.5773783
0,0.8704249,0.01401953,36.85004,0.083666824,0.8288999
0,1.020985,0.006332914,37.90917,0.024474645,0.42973298
0,0.017872013,0.015673468,2399.4907,0.11173611,24.365145
0,0.28201637,0.0023763028,3139.4558,0.8281928,6.5215483
0,0.05320937,0.005063263,7075.982,0.29580808,9.672346
0,1.3697922,0.00869388,19.547358,0.020816594,0.39220244
0,0.16307074,0.007781583,166.54846,0.054893956,1.0559723
0,0.85244274,0.005033771,91.32846,0.06942319,0.28126267
0,2.9426467,0.009336069,2.5017478,0.016423184,0.085064076
0,1.5499105,0.0073472327,5.3186502,0.020965284,0.09011971
0,0.046551384,0.011363913,2393.874,0.1747641,10.807692
0,0.046534438,0.005389709,5839.6343,0.1827199,9.810922
1,1.1789794,0.013042312,15.808721,0.047049187,0.47643742
0,0.07788075,0.008854776,675.26624,0.06665582,5.640805
0,1.3653997,0.0067612235,12.810398,0.019241486,0.16023591
0,0.045894433,0.007993622,3638.8577,0.14243233,9.563766
0,0.14164363,0.006259891,4997.625,0.69731253,7.9623837
0,0.038197648,0.0063953195,4810.5356,0.119695716,15.67184
0,5.8827686,0.008283445,5.852968,0.073461145,0.10749632
