label,GrayLevelNonUniformity,GrayLevelNonUniformityNormalized,GrayLevelVariance,HighGrayLevelZoneEmphasis,LargeAreaEmphasis,LargeAreaHighGrayLevelEmphasis,LargeAreaLowGrayLevelEmphasis,LowGrayLevelZoneEmphasis,SizeZoneNonUniformity,SizeZoneNonUniformityNormalized,SmallAreaEmphasis,SmallAreaHighGrayLevelEmphasis,SmallAreaLowGrayLevelEmphasis,ZoneEntropy,ZonePercentage,ZoneVariance
0,16.5,0.043882977,41.364353,2541.0984,48.39628,106516.586,0.023750525,0.000422004,125.21809,0.33302683,0.59872365,1513.354,0.00025350926,6.507358,0.28249437,35.86543
0,18.64151,0.043965824,56.45741,2311.5872,68.50707,126691.414,0.038007934,0.0004996467,152.15094,0.35884658,0.6213661,1404.6924,0.0003270774,6.515108,0.31855747,58.652805
0,10.705766,0.021283828,327.94702,2180.026,95.26243,80097.164,71.78088,0.0037615479,242.57057,0.48224768,0.7215236,1430.8721,0.0013235892,6.930647,0.37791136,88.26046
0,8.804878,0.10737656,9.610351,148.39024,3093.5,474373.6,20.878586,0.010121002,17.560976,0.21415824,0.45233968,68.22545,0.004125425,5.385008,0.061607815,2830.0317
0,3.625,0.11328125,8.233398,41.65625,17615.469,194130.75,14800.698,0.087354064,2.75,0.0859375,0.15816414,6.090734,0.010962988,4.875,0.024042074,15885.429
0,14.504951,0.023935562,200.09619,1694.5693,17.084158,42278.67,0.021317253,0.0020917181,271.57425,0.44814235,0.6959854,1107.5094,0.0013762945,6.975601,0.45529675,12.2601185
0,17.362934,0.03351918,73.55086,2937.6602,18.762548,55636.37,0.006902013,0.00038422205,187.95753,0.36285236,0.6242824,1799.4365,0.00024899558,6.753809,0.38918108,12.160228
0,18.116364,0.03293884,74.10309,1763.1637,21.972727,37407.37,0.013848849,0.00070257083,233.09091,0.42380166,0.6766783,1168.9608,0.0004953621,6.580913,0.41322315,16.116327
0,7.590476,0.036145125,72.085625,834.3714,355.7381,227602.84,3.5534837,0.006912964,59.390476,0.2828118,0.5494296,430.61713,0.0013873847,6.646977,0.1577761,315.56665
0,17.07353,0.041846886,52.797714,552.5613,34.3701,15277.688,0.10999327,0.0029675825,136.13235,0.33365774,0.59973854,365.24112,0.0015940033,6.661062,0.30653644,23.72779
0,16.053192,0.028463105,230.02634,2580.7288,19.721632,45744.594,2.5720468,0.0037900114,250.57446,0.44428098,0.69285506,1741.9481,0.001471819,6.8597503,0.42374155,14.152366
0,12.709443,0.03077347,91.99306,3374.201,52.85472,140884.03,0.020689383,0.00033092263,138.65134,0.3357175,0.59839547,2074.2434,0.00019142425,6.8687077,0.31029302,42.468536
0,11.705263,0.06160665,24.438477,181.47894,989.79474,214892.72,5.045187,0.017433131,71.13684,0.37440443,0.6341329,106.268974,0.011322125,5.6894903,0.14274982,940.721
0,1.6,0.16,4.24,25.4,60924.5,2273897.0,1684.0369,0.16074221,1.0,0.1,0.03369005,0.76501983,0.007353915,3.321928,0.007513148,43208.89
0,9.829358,0.018035518,333.95023,1646.6495,353.89542,10454.156,348.82184,0.0060602394,289.378,0.5309688,0.75697476,1239.6078,0.0029646046,6.9554396,0.40946656,347.93106
