label,GrayLevelNonUniformity,GrayLevelNonUniformityNormalized,GrayLevelVariance,HighGrayLevelRunEmphasis,LongRunEmphasis,LongRunHighGrayLevelEmphasis,LongRunLowGrayLevelEmphasis,LowGrayLevelRunEmphasis,RunEntropy,RunLengthNonUniformity,RunLengthNonUniformityNormalized,RunPercentage,RunVariance,ShortRunEmphasis,ShortRunHighGrayLevelEmphasis,ShortRunLowGrayLevelEmphasis
0,207.75275,0.29669732,1.723787,107.83569,6.787432,779.1228,0.060940318,0.010175053,3.8949256,286.2432,0.39619896,0.5235508,2.5697093,0.6427172,67.47191,0.0068850038
0,202.47928,0.39068052,0.5052253,33.759686,12.430382,389.78806,0.4129962,0.03139921,3.8182778,132.61392,0.24362932,0.3879674,4.237291,0.4693068,16.76184,0.014008497
0,60.316673,0.05004051,66.831985,639.97406,1.3657932,877.39264,0.0041651926,0.0031857423,5.175466,1011.5489,0.8369265,0.9053921,0.13760991,0.9308481,595.3335,0.0029923378
1,130.49495,0.14979997,3.3511813,100.24838,3.4773028,364.0045,0.037781425,0.011576999,4.2457438,448.2413,0.49951524,0.65491533,0.97024864,0.72460645,70.9865,0.008635354
0,55.173553,0.044471435,133.72792,2972.794,1.2566658,3776.8442,0.0006450448,0.00055189803,5.315873,1096.2177,0.8821301,0.93180376,0.09962623,0.95142585,2821.3672,0.00053387845
0,24.209944,0.018785125,372.92352,2606.4053,1.1022973,2909.9026,0.0026167824,0.0023237513,6.162859,1211.291,0.93973935,0.9682714,0.035414293,0.97643393,2537.3428,0.0022588656
0,97.68081,0.09145864,13.558741,1671.8105,2.013526,3353.8203,0.0012424495,0.0006216091,4.603318,738.02075,0.68481207,0.8013061,0.40952337,0.8516526,1424.714,0.0005309614
0,66.022896,0.054939333,25.718834,984.28937,1.3527362,1326.3074,0.0015472665,0.0011487034,4.782752,992.8506,0.8247888,0.902907,0.12234226,0.9259974,912.161,0.0010652286
0,28.885702,0.023122936,258.25925,1190.5642,1.2150267,1495.591,0.030975815,0.013460093,5.886009,1111.155,0.8886904,0.9385078,0.07762822,0.95475936,1128.7634,0.01017722
0,42.475525,0.033884913,148.98404,4924.402,1.195319,5847.62,0.019954871,0.009350985,5.4726853,1116.7898,0.8906317,0.941802,0.06726613,0.95601225,4712.2695,0.0076116384
0,175.20886,0.33350796,0.6895732,128.8136,11.352817,1432.7937,0.09080253,0.007934426,3.9960918,137.6447,0.25183177,0.39380455,3.9984303,0.47920275,62.09449,0.0038078234
0,97.328125,0.102269694,12.011123,45.050026,2.9226615,165.37987,0.5370884,0.1670533,4.4609013,565.8726,0.5821761,0.71392244,0.8181783,0.78686064,33.350105,0.12322297
0,239.83464,0.2691373,1.2456037,320.0585,3.958188,1286.3848,0.01230619,0.0031782682,3.4506488,470.94717,0.51137835,0.6676299,1.1428065,0.7315462,232.77187,0.002344424
0,91.90207,0.08054348,38.116642,918.4927,1.5705736,1369.6493,0.0020062018,0.0012499681,4.7404394,863.2098,0.7549083,0.8571924,0.2041937,0.8914128,832.0014,0.0011065064
0,92.376495,0.077159196,28.722448,1973.5635,1.3712558,2679.227,0.0007347076,0.00053551927,4.653683,985.01117,0.8215015,0.89938164,0.13143428,0.92427313,1829.3757,0.00049487373
0,60.488567,0.04975631,49.137157,4254.043,1.3069884,5506.013,0.00032272507,0.00024530746,5.079283,1024.4617,0.84168655,0.9133098,0.105477914,0.9339342,3982.913,0.00022873239
0,201.98883,0.26475245,1.4096804,158.48027,5.544022,888.9012,0.035224497,0.006580158,3.791611,343.42938,0.43561247,0.57221293,1.9251951,0.6745612,106.240616,0.004515094
0,57.564846,0.049038444,39.054893,451.55463,1.4673316,664.8247,0.0050904416,0.0035875887,5.1167507,937.399,0.7964287,0.88192797,0.17413737,0.9120594,411.71335,0.0032987094
0,30.034372,0.023413593,307.15637,2042.7103,1.1164252,2315.939,0.0023658646,0.0021225396,5.889672,1193.5809,0.93020046,0.96376354,0.03931295,0.972579,1978.4779,0.002065535
0,72.555504,0.0604767,29.978996,1928.261,1.3689091,2633.4795,0.00076463795,0.0005647272,4.85682,989.73267,0.82336843,0.901231,0.13249025,0.92523044,1784.4971,0.0005243305
0,100.02262,0.09654123,11.991747,190.53645,2.2412338,473.83917,0.015684366,0.008418815,4.5270634,677.5658,0.6493208,0.77558804,0.5158089,0.8314433,153.81892,0.007314565
0,28.835537,0.02251927,256.5107,2672.497,1.1230974,3041.4663,0.001299538,0.0011957265,5.9347935,1188.1599,0.9276768,0.9620297,0.04213911,0.97152156,2587.8113,0.0011705065
0,91.26707,0.0859409,14.010934,1324.4479,1.9910296,2565.6975,0.0016054118,0.0007866268,4.61561,720.93396,0.6750342,0.7970872,0.38950944,0.84706503,1130.2692,0.00066162023
0,52.572098,0.042921852,51.668304,1698.6715,1.2798078,2150.2812,0.0008586434,0.0006640962,5.1154294,1046.538,0.85374343,0.92018723,0.097035795,0.93955827,1600.4586,0.0006223111
0,53.30526,0.044233125,46.35461,2192.1387,1.3455323,2970.0554,0.0006712343,0.00050587073,5.144993,1002.2055,0.8300787,0.9054499,0.12137078,0.9283757,2031.7218,0.000471325
0,185.41205,0.2051237,2.5966384,93.78252,3.4135485,338.64648,0.037794523,0.0125264395,3.8572352,493.4146,0.53165215,0.6772236,0.9666776,0.7467247,68.80672,0.009756025
0,74.1065,0.080326915,21.655497,93.53014,3.5155878,171.29495,1.9188901,0.16363443,4.899402,540.91327,0.58411556,0.6881466,1.2987543,0.79111266,81.54541,0.07243085
1,21.792639,0.017870484,960.3122,5137.4453,1.4248077,5896.4253,0.3656174,0.054522894,6.5916705,1072.6355,0.88070816,0.9144657,0.22538655,0.9502331,4962.7544,0.030781783
