no,feature1,feature2,corrcoef
64,original_firstorder_10Percentile.nrrd,original_glrlm_RunLengthNonUniformity.nrrd,0.9592613837656307
65,original_firstorder_10Percentile.nrrd,original_glrlm_RunLengthNonUniformityNormalized.nrrd,0.9885141793884851
66,original_firstorder_10Percentile.nrrd,original_glrlm_RunPercentage.nrrd,0.9888516083352026
67,original_firstorder_10Percentile.nrrd,original_glrlm_RunVariance.nrrd,0.9517945676777189
68,original_firstorder_10Percentile.nrrd,original_glrlm_ShortRunEmphasis.nrrd,0.9889191209466441
69,original_firstorder_10Percentile.nrrd,original_glrlm_ShortRunHighGrayLevelEmphasis.nrrd,0.9850860179245831
70,original_firstorder_10Percentile.nrrd,original_glrlm_ShortRunLowGrayLevelEmphasis.nrrd,0.7105470312134956
71,original_firstorder_10Percentile.nrrd,original_glszm_GrayLevelNonUniformity.nrrd,0.9660509687941315
72,original_firstorder_10Percentile.nrrd,original_glszm_GrayLevelNonUniformityNormalized.nrrd,0.9552978961393467
73,original_firstorder_10Percentile.nrrd,original_glszm_GrayLevelVariance.nrrd,0.8878141483604438
74,original_firstorder_10Percentile.nrrd,original_glszm_HighGrayLevelZoneEmphasis.nrrd,0.9871617810157504
75,original_firstorder_10Percentile.nrrd,original_glszm_LargeAreaEmphasis.nrrd,0.7779852742153073
76,original_firstorder_10Percentile.nrrd,original_glszm_LargeAreaHighGrayLevelEmphasis.nrrd,0.8092180614272254
77,original_firstorder_10Percentile.nrrd,original_glszm_LargeAreaLowGrayLevelEmphasis.nrrd,0.7431529508876348
78,original_firstorder_10Percentile.nrrd,original_glszm_LowGrayLevelZoneEmphasis.nrrd,0.6462208724211662
79,original_firstorder_10Percentile.nrrd,original_glszm_SizeZoneNonUniformity.nrrd,0.9145471168540679
80,original_firstorder_10Percentile.nrrd,original_glszm_SizeZoneNonUniformityNormalized.nrrd,0.9800005735792341
81,original_firstorder_10Percentile.nrrd,original_glszm_SmallAreaEmphasis.nrrd,0.9863009643476276
82,original_firstorder_10Percentile.nrrd,original_glszm_SmallAreaHighGrayLevelEmphasis.nrrd,0.9803593916550736
83,original_firstorder_10Percentile.nrrd,original_glszm_SmallAreaLowGrayLevelEmphasis.nrrd,0.5834595943912106
84,original_firstorder_10Percentile.nrrd,original_glszm_ZoneEntropy.nrrd,0.9887897643624657
85,original_firstorder_10Percentile.nrrd,original_glszm_ZonePercentage.nrrd,0.976692622947649
