no,feature1,feature2,corrcoef
346,original_firstorder_Entropy.nrrd,original_glszm_LargeAreaHighGrayLevelEmphasis.nrrd,0.7674668559926927
347,original_firstorder_Entropy.nrrd,original_glszm_LargeAreaLowGrayLevelEmphasis.nrrd,0.7457570550854099
348,original_firstorder_Entropy.nrrd,original_glszm_LowGrayLevelZoneEmphasis.nrrd,0.7175981803732041
353,original_firstorder_Entropy.nrrd,original_glszm_SmallAreaLowGrayLevelEmphasis.nrrd,0.6568856979543924
356,original_firstorder_Entropy.nrrd,original_glszm_ZoneVariance.nrrd,0.6047748584140558
367,original_firstorder_InterquartileRange.nrrd,original_firstorder_Minimum.nrrd,0.7330688543368161
371,original_firstorder_InterquartileRange.nrrd,original_firstorder_Skewness.nrrd,-0.311960509
377,original_firstorder_InterquartileRange.nrrd,original_glcm_ClusterShade.nrrd,-0.297456027
392,original_firstorder_InterquartileRange.nrrd,original_glcm_JointEnergy.nrrd,0.6560951552726695
394,original_firstorder_InterquartileRange.nrrd,original_glcm_MaximumProbability.nrrd,0.7407628927250063
408,original_firstorder_InterquartileRange.nrrd,original_gldm_LargeDependenceLowGrayLevelEmphasis.nrrd,0.7970122933371387
409,original_firstorder_InterquartileRange.nrrd,original_gldm_LowGrayLevelEmphasis.nrrd,0.7414607512298805
412,original_firstorder_InterquartileRange.nrrd,original_gldm_SmallDependenceLowGrayLevelEmphasis.nrrd,0.633944472648787
419,original_firstorder_InterquartileRange.nrrd,original_glrlm_LongRunLowGrayLevelEmphasis.nrrd,0.7524617630699452
420,original_firstorder_InterquartileRange.nrrd,original_glrlm_LowGrayLevelRunEmphasis.nrrd,0.736554787204469
428,original_firstorder_InterquartileRange.nrrd,original_glrlm_ShortRunLowGrayLevelEmphasis.nrrd,0.7321418917432171
433,original_firstorder_InterquartileRange.nrrd,original_glszm_LargeAreaEmphasis.nrrd,0.6478602027512289
434,original_firstorder_InterquartileRange.nrrd,original_glszm_LargeAreaHighGrayLevelEmphasis.nrrd,0.697892545461898
435,original_firstorder_InterquartileRange.nrrd,original_glszm_LargeAreaLowGrayLevelEmphasis.nrrd,0.637694644818316
436,original_firstorder_InterquartileRange.nrrd,original_glszm_LowGrayLevelZoneEmphasis.nrrd,0.6712242415267706
441,original_firstorder_InterquartileRange.nrrd,original_glszm_SmallAreaLowGrayLevelEmphasis.nrrd,0.6189461558403688
444,original_firstorder_InterquartileRange.nrrd,original_glszm_ZoneVariance.nrrd,0.5038610056075952
454,original_firstorder_Kurtosis.nrrd,original_firstorder_Minimum.nrrd,0.6984600303432851
458,original_firstorder_Kurtosis.nrrd,original_firstorder_Skewness.nrrd,-0.384293283
463,original_firstorder_Kurtosis.nrrd,original_glcm_ClusterProminence.nrrd,0.6285652365164446
464,original_firstorder_Kurtosis.nrrd,original_glcm_ClusterShade.nrrd,-0.262686126
465,original_firstorder_Kurtosis.nrrd,original_glcm_ClusterTendency.nrrd,0.7741029198584732
479,original_firstorder_Kurtosis.nrrd,original_glcm_JointEnergy.nrrd,0.7679527116203865
485,original_firstorder_Kurtosis.nrrd,original_glcm_SumSquares.nrrd,0.7971893964212314
499,original_firstorder_Kurtosis.nrrd,original_gldm_SmallDependenceLowGrayLevelEmphasis.nrrd,0.6815426304500373
507,original_firstorder_Kurtosis.nrrd,original_glrlm_LowGrayLevelRunEmphasis.nrrd,0.795952427045885
515,original_firstorder_Kurtosis.nrrd,original_glrlm_ShortRunLowGrayLevelEmphasis.nrrd,0.790736863010245
520,original_firstorder_Kurtosis.nrrd,original_glszm_LargeAreaEmphasis.nrrd,0.7449008415041249
521,original_firstorder_Kurtosis.nrrd,original_glszm_LargeAreaHighGrayLevelEmphasis.nrrd,0.7438260137132814
522,original_firstorder_Kurtosis.nrrd,original_glszm_LargeAreaLowGrayLevelEmphasis.nrrd,0.7575324841370522
523,original_firstorder_Kurtosis.nrrd,original_glszm_LowGrayLevelZoneEmphasis.nrrd,0.7388882704276013
528,original_firstorder_Kurtosis.nrrd,original_glszm_SmallAreaLowGrayLevelEmphasis.nrrd,0.6838049691951679
531,original_firstorder_Kurtosis.nrrd,original_glszm_ZoneVariance.nrrd,0.615793046492473
544,original_firstorder_Maximum.nrrd,original_firstorder_Skewness.nrrd,-0.258607984
549,original_firstorder_Maximum.nrrd,original_glcm_ClusterProminence.nrrd,0.7269027995193988
550,original_firstorder_Maximum.nrrd,original_glcm_ClusterShade.nrrd,-0.203820707
565,original_firstorder_Maximum.nrrd,original_glcm_JointEnergy.nrrd,0.7506690025302122
582,original_firstorder_Maximum.nrrd,original_gldm_LowGrayLevelEmphasis.nrrd,0.7627746579645233
585,original_firstorder_Maximum.nrrd,original_gldm_SmallDependenceLowGrayLevelEmphasis.nrrd,0.6352094097473066
592,original_firstorder_Maximum.nrrd,original_glrlm_LongRunLowGrayLevelEmphasis.nrrd,0.7783108514976719
593,original_firstorder_Maximum.nrrd,original_glrlm_LowGrayLevelRunEmphasis.nrrd,0.7574602499534462
601,original_firstorder_Maximum.nrrd,original_glrlm_ShortRunLowGrayLevelEmphasis.nrrd,0.7518256906568968
606,original_firstorder_Maximum.nrrd,original_glszm_LargeAreaEmphasis.nrrd,0.7426273184824774
607,original_firstorder_Maximum.nrrd,original_glszm_LargeAreaHighGrayLevelEmphasis.nrrd,0.771574611176224
608,original_firstorder_Maximum.nrrd,original_glszm_LargeAreaLowGrayLevelEmphasis.nrrd,0.7262490643204838
609,original_firstorder_Maximum.nrrd,original_glszm_LowGrayLevelZoneEmphasis.nrrd,0.6881377822586874
614,original_firstorder_Maximum.nrrd,original_glszm_SmallAreaLowGrayLevelEmphasis.nrrd,0.6287289269213211
617,original_firstorder_Maximum.nrrd,original_glszm_ZoneVariance.nrrd,0.600314833975362
629,original_firstorder_Mean.nrrd,original_firstorder_Skewness.nrrd,-0.284538253
