notebook,class,kernel,model,accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,confusion_matrix,support_0,support_1
GradientBoostedTreesModel.1.firstorder.Tensorflow.ipynb,firstorder,kernel6,GradientBoostedTreesModel,0.9726,0.6667,0.8571,0.75,0.7423,0.9969,0.9571,"[[136 3]
 [1 6]]",139,7
GradientBoostedTreesModel.1.glcm.Tensorflow.ipynb,glcm,kernel6,GradientBoostedTreesModel,0.9863,1.0,0.8,0.8889,0.8879,1.0,1.0,"[[136 0]
 [2 8]]",136,10
GradientBoostedTreesModel.1.gldm.Tensorflow.ipynb,gldm,kernel6,GradientBoostedTreesModel,0.9452,0.3,0.75,0.4286,0.4528,0.9842,0.8167,"[[135 7]
 [1 3]]",142,4
GradientBoostedTreesModel.1.glrlm.Tensorflow.ipynb,glrlm,kernel6,GradientBoostedTreesModel,0.9726,0.875,0.7,0.7778,0.7688,0.9945,0.8663,"[[135 1]
 [3 7]]",136,10
GradientBoostedTreesModel.1.glszm.Tensorflow.ipynb,glszm,kernel6,GradientBoostedTreesModel,0.9932,1.0,0.75,0.8571,0.863,0.9859,0.8333,"[[142 0]
 [1 3]]",142,4
GradientBoostedTreesModel.1.ngtdm.Tensorflow.ipynb,ngtdm,kernel6,GradientBoostedTreesModel,0.9726,0.8571,0.6667,0.75,0.7423,0.9895,0.8852,"[[136 1]
 [3 6]]",137,9
RandomForest.1.firstorder.Tensorflow.ipynb,firstorder,kernel6,RandomForest,0.9863,0.7778,1.0,0.875,0.8755,1.0,1.0,"[[137 2]
 [0 7]]",139,7
RandomForest.1.glcm.Tensorflow.ipynb,glcm,kernel6,RandomForest,0.9863,0.9,0.9,0.9,0.8926,0.9978,0.9709,"[[135 1]
 [1 9]]",136,10
RandomForest.1.gldm.Tensorflow.ipynb,gldm,kernel6,RandomForest,0.9932,1.0,0.75,0.8571,0.863,1.0,1.0,"[[142 0]
 [1 3]]",142,4
RandomForest.1.glrlm.Tensorflow.ipynb,glrlm,kernel6,RandomForest,0.9726,0.875,0.7,0.7778,0.7688,0.9846,0.8369,"[[135 1]
 [3 7]]",136,10
RandomForest.1.glszm.Tensorflow.ipynb,glszm,kernel6,RandomForest,0.9932,1.0,0.75,0.8571,0.863,0.9868,0.8333,"[[142 0]
 [1 3]]",142,4
RandomForest.1.ngtdm.Tensorflow.ipynb,ngtdm,kernel6,RandomForest,0.9863,0.8889,0.8889,0.8889,0.8816,0.9951,0.9396,"[[136 1]
 [1 8]]",137,9
SVM.1.firstorder.Tensorflow.ipynb,firstorder,kernel6,SVM,,,,,,,,,,
SVM.1.glcm.Tensorflow.ipynb,glcm,kernel6,SVM,0.9315,0.0,0.0,0.0,0.0,0.7382,0.1353,"[[136 0]
 [10 0]]",136,10
SVM.1.gldm.Tensorflow.ipynb,gldm,kernel6,SVM,0.9863,1.0,0.5,0.6667,0.7022,0.8785,0.7014,"[[142 0]
 [2 2]]",142,4
SVM.1.glrlm.Tensorflow.ipynb,glrlm,kernel6,SVM,0.9658,0.7778,0.7,0.7368,0.7197,0.9794,0.6943,"[[134 2]
 [3 7]]",136,10
SVM.1.glszm.Tensorflow.ipynb,glszm,kernel6,SVM,0.9726,0.0,0.0,0.0,0.0,0.4243,0.0353,"[[142 0]
 [4 0]]",142,4
SVM.1.ngtdm.Tensorflow.ipynb,ngtdm,kernel6,SVM,0.9384,0.0,0.0,0.0,0.0,0.558,0.0721,"[[137 0]
 [9 0]]",137,9
