notebook,class,kernel,model,accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,confusion_matrix,support_0,support_1,cpu_total_time
RandomForest.all.ipynb,all,kernel3,RandomForest,0.9658,0.9209,0.7181,0.8069,0.7959,0.9738,0.883,"[[2042 14]
 [64 163]]",2056,227,13.9 s
RandomForest.firstorder.ipynb,firstorder,kernel3,RandomForest,0.9676,0.8964,0.7621,0.8238,0.8093,0.9538,0.8549,"[[2036 20]
 [54 173]]",2056,227,10.4 s
RandomForest.glcm.ipynb,glcm,kernel3,RandomForest,0.9676,0.9005,0.7577,0.823,0.8089,0.9735,0.8821,"[[2037 19]
 [55 172]]",2056,227,10.6 s
RandomForest.gldm.ipynb,gldm,kernel3,RandomForest,0.9645,0.9011,0.7225,0.802,0.7885,0.9556,0.86,"[[2038 18]
 [63 164]]",2056,227,9.43 s
RandomForest.glrlm.ipynb,glrlm,kernel3,RandomForest,0.968,0.9231,0.7401,0.8215,0.8101,0.9535,0.861,"[[2042 14]
 [59 168]]",2056,227,9.51 s
RandomForest.glszm.ipynb,glszm,kernel3,RandomForest,0.9641,0.9096,0.7093,0.797,0.7849,0.9486,0.8424,"[[2040 16]
 [66 161]]",2056,227,9.54 s
RandomForest.ngtdm.ipynb,ngtdm,kernel3,RandomForest,0.9488,0.8716,0.5683,0.688,0.6794,0.9362,0.7993,"[[2037 19]
 [98 129]]",2056,227,9.16 s
SVM.all.ipynb,all,kernel3,SVM,0.9321,0.6139,0.8546,0.7145,0.6891,0.9582,0.7499,"[[1934 122]
 [33 194]]",2056,227,2.83 s
SVM.firstorder.ipynb,firstorder,kernel3,SVM,0.9588,0.8844,0.674,0.765,0.7511,0.946,0.8466,"[[2036 20]
 [74 153]]",2056,227,2.72 s
SVM.glcm.ipynb,glcm,kernel3,SVM,0.9273,0.5884,0.8943,0.7098,0.6894,0.9612,0.7956,"[[1914 142]
 [24 203]]",2056,227,1.72 s
SVM.gldm.ipynb,gldm,kernel3,SVM,0.9658,0.9257,0.7137,0.806,0.7956,0.9534,0.8869,"[[2043 13]
 [65 162]]",2056,227,2.31 s
SVM.glrlm.ipynb,glrlm,kernel3,SVM,0.9645,0.9148,0.7093,0.799,0.7875,0.9463,0.8876,"[[2041 15]
 [66 161]]",2056,227,2.42 s
SVM.glszm.ipynb,glszm,kernel3,SVM,0.9593,0.8895,0.674,0.7669,0.7537,0.948,0.8632,"[[2037 19]
 [74 153]]",2056,227,2.24 s
SVM.ngtdm.ipynb,ngtdm,kernel3,SVM,0.9049,1.0,0.0441,0.0844,0.1996,0.9002,0.5801,"[[2056 0]
 [217 10]]",2056,227,3.63 s
XGBoost.all.ipynb,all,kernel3,XGBoost,0.9685,0.8384,0.8458,0.8421,0.8246,0.9731,0.8977,"[[2019 37]
 [35 192]]",2056,227,23.3 s
XGBoost.firstorder.ipynb,firstorder,kernel3,XGBoost,0.965,0.8693,0.7621,0.8122,0.7951,0.9486,0.8367,"[[2030 26]
 [54 173]]",2056,227,7.87 s
XGBoost.glcm.ipynb,glcm,kernel3,XGBoost,0.9606,0.7842,0.8326,0.8077,0.7862,0.9674,0.8746,"[[2004 52]
 [38 189]]",2056,227,9.53 s
XGBoost.gldm.ipynb,gldm,kernel3,XGBoost,0.9645,0.9148,0.7093,0.799,0.7875,0.9492,0.85,"[[2041 15]
 [66 161]]",2056,227,8.19 s
XGBoost.glrlm.ipynb,glrlm,kernel3,XGBoost,0.9632,0.895,0.7137,0.7941,0.7802,0.9464,0.8453,"[[2037 19]
 [65 162]]",2056,227,13 s
XGBoost.glszm.ipynb,glszm,kernel3,XGBoost,0.9615,0.8927,0.696,0.7822,0.7685,0.9421,0.827,"[[2037 19]
 [69 158]]",2056,227,7.57 s
XGBoost.ngtdm.ipynb,ngtdm,kernel3,XGBoost,0.9501,0.8424,0.6123,0.7092,0.693,0.9318,0.7857,"[[2030 26]
 [88 139]]",2056,227,7.27 s
